Helstar	Harsh Reality
Carpathian Forest	Dypfryst / Dette Er Mitt Helvete
Cantique Lépreux	Tourments Des Limbes Glacials
A Silver Mt. Zion	Could've Moved Mountains...
David Bowie	Fill Your Heart
Anthrax	Lone Justice
Meshuggah	Sane
The Rolling Stones	Yesterday's Papers
Аквариум	Мой друг музыкант
Нейромонах Феофан	Посевная
The Fall	O.F.Y.C. Showcase
Telex	Rock Around The Clock
Against Me!	Fuckmylife666
Kings of Convenience	Homesick
Chimaira	Power Trip
Dream Theater	Stream Of Consciousness
Pink Floyd	The Narrow Way, Part III
Chimaira	Black Heart
Black Sabbath	Cardinal Sin
bôa	Fool
Dream Theater	Illumination Theory
Bal-Sagoth	And Lo, When the Imperium Marches Against Gul-Kothoth, Then Dark Sorceries Shall Enshroud the Citadel of the Obsidian Crown
L.A. Witch	Good Guys
Mammal Hands	Kudu
Faun	Nahtegal
Disturbed	Stupify
Ultra Naté	Free
Kvelertak	Månelyst
Above & Beyond	Sticky Fingers
I Hear Sirens	The Faint Reflection Of Stars
Drake	Pound Cake / Paris Morton Music 2
Bonaparte	Computer in Love
Movements	Daylily
The Prodigy	O
K.I.Z.	Spasst
Charlie Parker	Summertime
Black Light Burns	Cruel Melody
Iron Maiden	To Tame A Land - 2015 Remaster
Radiohead	Bullet Proof ... I Wish I Was
At the Gates	Suicide Nation
Calexico	Glowing Heart of the World
John Williams	Dobby the House Elf
PandRezz	Over You
Dan Denison	Pure Desire
John Williams	The Portrait Gallery
Yo La Tengo	Pablo and Andrea
Ulcerate	Abrogation
Pain of Salvation	Reasons
Serj Tankian	Baby
Cibo Matto	Apple
Neil Young	Tell Me Why
M83	Feelings
Jai Paul	He
simon eng	oh
Hellions	Bad Way
Wu-Tang Clan	It's Yourz
Periphery	Stranger Things
Bright Eyes	Another Travelin' Song
Fleet Foxes	Heard Them Stirring
Rolling Blackouts Coastal Fever	Clean Slate
Tender	Closer Still
Daniela Andrade	Crazy In Love
Vetiver	Last Hurrah
Mad Caddies	No Hope
Mad Caddies	Villains
Long Distance Calling	Welcome Change
Farin Urlaub	Wunderbar
Yeasayer	Daughters of Cain
The Glove	Like An Animal
Dave Brubeck	Thank You
Green Carnation	The Burden is mine...Alone
Jonas Blue	Fast Car - Radio Edit
Beach House	White Moon - iTunes Session Remix
SMRTDEATH	Madman
Epic45	Sun Memory
July Skies	Waiting to Land
Stars of the Lid	Before Top Dead Center
Marconi Union	Weightless Part 2
Pyhimys	Chanelle
Haloo Helsinki!	Rakas
Akercocke	Familiar Ghosts
Magnolia Electric Co.	The Handing Down
Cattle Decapitation	Ave Exitium
The Head and the Heart	Fire/Fear
Necrophobic	Where Sinners Burn
Frank Zappa	Camarillo Brillo
The Fratellis	For The Girl
Les Sins	Bother - Morgan Geist Remix
El Michels Affair	Tearz
Heaven in Her Arms	Get Out
Head of the Demon	Zurvan's Ordeal
Boa	Blah
Charli XCX	Boys
Scarve	Irradiant
Epica	Chasing The Dragon
Widek	Comet
Amon Amarth	Coming Of The Tide
Black Veil Brides	Dead Man Walking
Stratovarius	Fireborn
