Avenged Sevenfold	Almost Easy
Saliva	Always
Guano Apes	Break the Line
Aerosmith	Dream On
Bloodhound Gang	The Bad Touch
Тараканы!	Кто-то из нас двоих
Элизиум	Острова
[AMATORY]	Первый
Temperance	Advice From A Caterpillar
Nocturnal Rites	Avalon
IANVA	Canone Europeo
Angra	Carolina IV
Iced Earth	Defiance
Gamma Ray	Fairytale
Human Fortress	Gift Of Prophecy
Helloween	Guardians
Helstar	Harsh Reality
Tierra Santa	La Torre Del Babel
Helstar	Malediction
John Powell	Marauders Arrive
Riccardo Cocciante	Margherita
Secret Sphere	Mr. Sin
Galderia	Pilgrim Of Love
Rhapsody of Fire	Rain of a Thousand Flames - Re-Recorded
The Foreshadowing	Reverie Is a Tyrant
Stormwarrior	Shield Wall
Klaus Badelt	Skull and Crossbones
Wintersun	Sleeping Stars
Freedom Call	The Ace Of The Unicorn
Bear McCreary	The Key to Coexistence
Lux Perpetua	The Legend
Winterfylleth	The Shepherd
Almanac	Tsar
Twilight Force	Twilight Horizon
Galneryus	Ultimate Sacrifice
Marius Danielsen	Under The Silver Moon
Unlucky Morpheus	Vampir
Rhapsody of Fire	Winter's Rain
Esa	I Know Your Wounds
Frontside	Nadchodzi Koniec
Ash Code	Alone In Your Dance
Bohren & der Club of Gore	Black City Skyline
Carpathian Forest	Dypfryst / Dette Er Mitt Helvete
Deathspell Omega	Epiklesis I
Chaos Moon	Eschaton Mémoire I
Misþyrming	Frostauðn
Prosternatur	Hydragyrum
Denzel Curry	Intro
Electric Wizard	Necromania
Lil Ugly Mane	Opposite Lanes
Krieg	The Blue Mist
Cantique Lépreux	Tourments Des Limbes Glacials
Drudkh	...W Krainie Drzew
The Gates of Slumber	Broken on the Wheel
Voivod	Chaosmöngers
A Silver Mt. Zion	Could've Moved Mountains...
The Decemberists	Down by the Water
Manilla Road	Enter the Warrior
Jethro Tull	European Legacy
Exodus	Fabulous Disaster
David Bowie	Fill Your Heart
Can	Flow Motion
Regina Spektor	Grand Hotel
Fen	Half-Light Eternal
Grateful Dead	Hard to Handle
Manowar	Hatred
The White Stripes	I Fought Piranhas
Burzum	Jesus' Tod
Coheed and Cambria	Keeping The Blade
Anthrax	Lone Justice
Jethro Tull	Love Story
Iron Maiden	Rainmaker
Mark Knopfler	Sailing to Philadelphia
Meshuggah	Sane
Uriah Heep	Stealin'
Meshuggah	Stengah
Coheed and Cambria	The  Gutter
Rome	The Blade Unmasked
Rome	To Each His Storm
Gentle Giant	Two Weeks In Spain
Frank Zappa	Watermelon In Easter Hay
The Rolling Stones	Yesterday's Papers
Ольга Арефьева	Бахамут
Соломенные Еноты	Боль поднимается вверх
Аквариум	Мой друг музыкант
Соломенные Еноты	Новые консерваторы
Нейромонах Феофан	Посевная
Аквариум	Я - змея
The Killers	Where the White Boys Dance
ZZ Top	A Fool For Your Stockings
L'Orange & Mr. Lif	A Palace In The Sky
Protomartyr	A Private Understanding
Teenage Fanclub	Accidental Life
Sufjan Stevens	Alanson, Crooked River
De La Soul	Area
wiki	Baby Girl
The Hold Steady	Banging Camp
The Doppelgangaz	Barbiturates
Nxworries	Best One
Billy Bragg & Wilco	Black Wind Blowing
Kaytranada	Breakdance Lesson N.1
Suede	Can't Get Enough
Slowdive	Crazy For You
Conway	DIE ON XMAS
The Beach Boys	Dance, Dance, Dance
The Beach Boys	Darlin'
Wild Beasts	Deeper
The Replacements	Dope Smokin Moron
Danny Brown	Drinks on Me
Slowdive	Erik's Song
P.O.S.	Faded
Kool Keith	Foot Locker
The Roots	Get Busy
Aphex Twin	Green Calx
Kevin Gates	Hard for
Mos Def	History
The Libertines	Horrorshow
Teenage Fanclub	I Have Nothing More to Say
Downtown Boys	It Can't Wait
The Diplomats	Juelz Santana
Radiohead	Kid A
Wild Beasts	Lion's Share
The xx	Lips
Big Thief	Little Arrow
Masta Ace	Mathematics
Bob Dylan	Meet Me in the Morning
Smoke DZA	Morningside Sunset
The Doors	My Wild Love
Fugazi	Nightshop
Intelligent Hoodlum	No Justice, No Peace
Japandroids	North East South West
BADBADNOTGOOD & Ghostface Killah	Nuggets of Wisdom
The Fall	O.F.Y.C. Showcase
Ryan Adams	Oh My God, Whatever, Etc.
Jonwayne	Paper
Gucci Mane	Pick Up The Pieces
ZZ Top	Pincushion
Kool G Rap & DJ Polo	Poison
Wild Beasts	Pregnant Pause
The Doors	Queen of the Highway
Wilco	Radio Cure
Sleater-Kinney	Ruins
Pavement	Shady Lane / J vs. S
RZA	Slow Grind Italian
Ol' Dirty Bastard	Snakes
Cloud Nothings	So Right So Clean
Curren$y	Sorry For The Wraith
Masta Ace	Summer's End
Masta Ace	Team Tryouts
Mitski	Texas Reznikoff
The Weeknd	The Morning
The Cure	The Weedy Burton
ZZ Top	Tush
Parquet Courts	Violence
Wells Fargo	Watch Out
Tom Petty and The Heartbreakers	What Are You Doin' In My Life?
Roc Marciano	Whoolers
Your Old Droog	Winston Red
The Rolling Stones	You Don't Have To Mean It
Killer Be Killed	Melting of My Marrow
Modeselektor	Art & Cash
Los Punsetes	Móvil de Dios
Telex	Rock Around The Clock
Twisted Sister	Burn In Hell
Celtic Frost	Dethroned Emperor
W.A.S.P.	Revengeance
Omen	Warning Of Danger
Karriem Riggins	Africa
Clark	Alice
Cardi B	Bodak Yellow
Daedelus	By A Thread
Al Dobson Jr.	Commerce
Gravediggaz	Defective Trip
Miles Davis	Freddie Freeloader - Studio Sequence 1
Céline Dion	Happy Xmas
Katy B & KAYTRANADA	Honey
Lorn	Memory Management
Jameszoo	Nail - Skit
Yogisoul	Nocturnal
Alessandro Cortini	Nonfare
Steve Spacek	Rawl Aredo
The Gaslamp Killer	Shred You To Bits
Daedelus	Special Re: Quest
Hudson Mohawke	Thunder Bay
Roberto Musci	Tower Of Silence
NATUREBOY FLAKO	Traummaschine
Queens of the Stone Age	You Think I Ain't Worth A Dollar, But I Feel Like A Millionaire - Album Version
get dead	Abandoned Suites
Cigarettes After Sex	Apocalypse
The Strokes	Bad Decisions
Banner Pilot	Central Standard
Banner Pilot	Division Street
Editors	Eat Raw Meat = Blood Drool
Bright Eyes	First Day of My Life
Against Me!	Fuckmylife666
Kings of Convenience	Homesick
Strike Anywhere	Refusal
Dawes	Roll with the Punches
Rainbow	Stargazer
BoySetsFire	The Force Majeure
Less Than Jake	The Science of Selling Yourself Short
Lars Frederiksen and the Bastards	To Have and to Have Not
Dustin Kensrue	Weary Saints
JJ Grey & Mofro	Write A Letter
The Wombats	Your Body Is a Weapon
Voicians	Artificial Mind
Shoot the Girl First	I'm Yours, and I'm Not Yours
I See Stars	Save the Cheerleader
Celldweller	Tough Guy
Chimaira	Power Trip
Bass Communion	A Grapefruit in the World of Park
Archive	Absurd
Amy Winehouse	Back to Black
Muse	Blockades
Mastodon	Blue Walsh
Pink Floyd	Cirrus Minor - 2011 Remastered Version
Gaz Coombes	Detroit
Pink Floyd	Echoes - 2011 Remastered Version
Sufjan Stevens	Enchanting Ghost
Frank Sinatra	Glad to Be Unhappy
Austin Wintory	Ichthyosaurus Communis
Pink Floyd	John Latham Version 1
Calle 13	La Vuelta Al Mundo
Shoji Meguro	Last Surprise
Gringe	Le mal est fait
The Moody Blues	Lunch Break: Peak Hour
Apathy	Martha Moxley
Pink Floyd	One of the Few
Damjan Mravunac	Out There
Émilie Simon	Perdue dans tes bras
The Who	Sea and Sand
Yes	Starship Trooper: a. Life Seeker, b. Disillusion, c. Würm
Dream Theater	Stream Of Consciousness
Kate Bush	Sunset - 2018 Remaster
Pink Floyd	The Narrow Way, Part III
The Mars Volta	Tira me a las arañas
The Mars Volta	Vedamalady
